KEY,ENG,VI
ui_collection_detail_dream_desc,"Soft, sparkling, and full of tiny treasures -- Every ribbon, every shimmer, every little thing seems to glow just a bit brighter, simply because it was chosen, touched, and loved by you.",
ui_collection_detail_future_desc,"Where technology and creativity merge, opening doors to the future, full of promise and delightful surprises.",
ui_collection_detail_green_vibes_desc,"Breathe in the fresh air, surrounded by lush greenery, like a secret garden just for you.",
ui_collection_detail_grand_desc,"Relive legendary moments and explore famous places, each corner holding a charming secret.",
ui_collection_detail_fairytale_echo_desc,"Step into a whimsical story, where every wish can come true and you're the princess of your own magical tale.",
ui_collection_detail_childhood_desc,"A colorful world of endless fun a laughter, where imagination soars and every day is a new adventure for tiny dreamers.",
ui_collection_detail_fabulous_desc,"Dive into the enchanting world of films, where every scene is a wondrous journey to far-off lands.",
ui_collection_detail_soulmate_desc,"A cozy corner filled with endless cuddles and happy purrs, where every pet feels right at home.",
ui_collection_detail_true_desc,"A stylish, private space where guys can relax and show off their unique personality, perfectly tailored for them.",
ui_collection_detail_starry_skies_desc,"Gaze at the twinkling galaxies, exploring the endless mysteries of the universe, like a dream a mong the stars.",
ui_collection_detail_game_on_desc,"Fele the thrill of the game, where every moment is about passion and celebrating sweet victories.",
ui_collection_detail_dreamscape_tittle,Dreamscape,
ui_collection_detail_could_nine_tittle,Cloud Nine,
ui_collection_detail_poetic_muse_tittle,Poetic Muse,
ui_collection_detail_show_time_title,Show Time!,
ui_collection_detail_cozy_corner_title,Cozy Corner,
ui_collection_detail_east_side_title,East Side,
ui_collection_detail_chill_glow_title,Chill Glow,
ui_collection_detail_sunny_days_title,Sunny Days,
ui_collection_detail_wishful_heart_title,Wishful Heart,
ui_collection_detail_tasty_dream_title,Tasty Dream,
ui_collection_detail_fantasy_realm_title,Fantasy Realm,
ui_collection_detail_evermore_tittle,Evermore,
ui_collection_detail_sea_breeze_title,Sea Breeze,
ui_collection_detail_wonderscape_title,Wonderscape,
ui_collection_detail_dream_boutique_title,Dream Boutique,
ui_collection_detail_future_flickers_title,Future Flickers,
ui_collection_detail_green_vibes_title,Green Vibes,
ui_collection_detail_grand_moments_title,Grand Moments,
ui_collection_detail_fairytale_echo_title,Fairytale Echo,
ui_collection_detail_childhood_glimmers_title,Childhood Glimmers,
ui_collection_detail_fabulous_story_title,Fabulous Story,
ui_collection_detail_soulmate_title,Soulmate,
ui_collection_detail_true_gentleman_title,True Gentleman,
ui_collection_detail_starry_skies_title,Starry Skies,
ui_collection_detail_game_on_title,Game On!,
ui_collection_detail_desc,Tap to card to play & chill,
